UBC Resistivity Measurement:2019-02-05 15:38:06.229883
==========================================================================
Sample Name: Sample
User: Username
Material: Material
==========================================================================
  Time(s)  |   Temp(K)   |  Vref(V)  |  ReVs (mV)  |  ImVs (mV)  |  Res(Ohm)  
==========================================================================
  6.98940  |  289.55000  |  0.95390  |   0.59438   |   -0.00358    |  0.06231  
  13.01574  |  289.68000  |  0.95340  |   0.59152   |   0.00000    |  0.06204  
  18.86708  |  289.91000  |  0.95350  |   0.59343   |   -0.00834    |  0.06224  
  24.88442  |  290.37000  |  0.95330  |   0.59486   |   -0.00334    |  0.06240  
  30.90077  |  290.90000  |  0.95360  |   0.58890   |   -0.00620    |  0.06176  
  36.89711  |  291.04000  |  0.95380  |   0.59486   |   -0.00596    |  0.06237  
  42.75344  |  290.69000  |  0.95340  |   0.59796   |   -0.00668    |  0.06272  
  48.78679  |  290.48000  |  0.95340  |   0.59009   |   -0.00930    |  0.06190  
  54.80313  |  289.77000  |  0.95410  |   0.59104   |   -0.00906    |  0.06195  
  60.80348  |  289.02000  |  0.95340  |   0.58937   |   -0.01097    |  0.06183  
  66.80682  |  288.32000  |  0.95410  |   0.59057   |   -0.01192    |  0.06191  
  72.82516  |  287.36000  |  0.95350  |   0.59057   |   -0.01049    |  0.06195  
  78.84951  |  286.33000  |  0.95410  |   0.58818   |   -0.00906    |  0.06166  
  84.85285  |  285.45000  |  0.95400  |   0.59033   |   -0.00763    |  0.06188  
  90.74019  |  284.38000  |  0.95410  |   0.58723   |   -0.01311    |  0.06156  
  96.75153  |  283.15000  |  0.95360  |   0.58961   |   -0.01383    |  0.06185  
  102.79688  |  282.04000  |  0.95420  |   0.58365   |   -0.01717    |  0.06119  
  108.79422  |  281.26000  |  0.95380  |   0.58580   |   -0.02217    |  0.06146  
  114.68056  |  280.12000  |  0.95350  |   0.58270   |   -0.01836    |  0.06114  
  120.69990  |  278.95000  |  0.95420  |   0.58961   |   -0.01931    |  0.06182  
  126.59624  |  278.05000  |  0.95340  |   0.58389   |   -0.02337    |  0.06129  
  132.63359  |  277.11000  |  0.95370  |   0.58675   |   -0.02003    |  0.06156  
  138.67793  |  276.10000  |  0.95350  |   0.58437   |   -0.02146    |  0.06133  
  144.70228  |  275.30000  |  0.95370  |   0.58580   |   -0.02217    |  0.06147  
  150.75762  |  274.26000  |  0.95370  |   0.58175   |   -0.02670    |  0.06106  
  156.76797  |  273.46000  |  0.95400  |   0.57817   |   -0.02575    |  0.06066  
  162.66730  |  272.91000  |  0.95400  |   0.58318   |   -0.02909    |  0.06121  
  168.70765  |  271.93000  |  0.95420  |   0.57435   |   -0.03648    |  0.06031  
  174.72099  |  271.26000  |  0.95350  |   0.57507   |   -0.03600    |  0.06043  
  180.60233  |  270.56000  |  0.95410  |   0.57507   |   -0.03314    |  0.06037  
  186.61167  |  269.90000  |  0.95400  |   0.57578   |   -0.03290    |  0.06045  
  192.48701  |  269.17000  |  0.95420  |   0.57626   |   -0.03672    |  0.06051  
  198.48435  |  268.60000  |  0.95420  |   0.57674   |   -0.04077    |  0.06059  
  204.49670  |  267.96000  |  0.95420  |   0.57435   |   -0.04101    |  0.06035  
  210.36103  |  267.46000  |  0.95410  |   0.57149   |   -0.04053    |  0.06005  
  216.39138  |  266.73000  |  0.95380  |   0.57483   |   -0.04220    |  0.06043  
  222.45172  |  266.14000  |  0.95430  |   0.57245   |   -0.04339    |  0.06016  
  228.49307  |  265.69000  |  0.95420  |   0.57364   |   -0.04053    |  0.06027  
  234.50941  |  265.14000  |  0.95440  |   0.56863   |   -0.04673    |  0.05978  
  240.36775  |  264.41000  |  0.95420  |   0.57674   |   -0.04602    |  0.06063  
  246.36609  |  264.00000  |  0.95400  |   0.56959   |   -0.05031    |  0.05994  
  252.25043  |  263.31000  |  0.95430  |   0.57006   |   -0.05054    |  0.05997  
  258.26677  |  262.80000  |  0.95440  |   0.56673   |   -0.05651    |  0.05967  
  264.26612  |  262.23000  |  0.95360  |   0.56768   |   -0.05388    |  0.05980  
  270.26546  |  261.70000  |  0.95420  |   0.57245   |   -0.05078    |  0.06023  
  276.11479  |  261.03000  |  0.95400  |   0.57006   |   -0.06032    |  0.06009  
  282.14014  |  260.53000  |  0.95370  |   0.56291   |   -0.05674    |  0.05932  
  288.14048  |  259.83000  |  0.95360  |   0.56696   |   -0.06151    |  0.05980  
  294.00682  |  259.17000  |  0.95440  |   0.55981   |   -0.06294    |  0.05903  
  300.02916  |  258.68000  |  0.95390  |   0.55957   |   -0.06557    |  0.05906  
  306.02850  |  258.09000  |  0.95410  |   0.56243   |   -0.06652    |  0.05936  
  312.04285  |  257.61000  |  0.95360  |   0.56076   |   -0.06747    |  0.05923  
  318.05319  |  256.92000  |  0.95380  |   0.55862   |   -0.06676    |  0.05898  
  324.11554  |  256.26000  |  0.95410  |   0.56029   |   -0.07248    |  0.05921  
  330.14188  |  255.61000  |  0.95400  |   0.56029   |   -0.07463    |  0.05925  
  336.14823  |  254.94000  |  0.95410  |   0.55814   |   -0.07629    |  0.05904  
  342.16857  |  254.25000  |  0.95440  |   0.55361   |   -0.08297    |  0.05865  
  348.02891  |  253.61000  |  0.95400  |   0.55218   |   -0.08202    |  0.05852  
  354.03825  |  252.88000  |  0.95440  |   0.55194   |   -0.08416    |  0.05850  
  359.90458  |  252.33000  |  0.95350  |   0.55409   |   -0.08535    |  0.05880  
  365.92093  |  251.49000  |  0.95400  |   0.55075   |   -0.08988    |  0.05849  
  371.79426  |  251.01000  |  0.95430  |   0.55361   |   -0.08440    |  0.05868  
  377.79161  |  250.27000  |  0.95380  |   0.55170   |   -0.09656    |  0.05872  
  383.81995  |  249.61000  |  0.95440  |   0.54932   |   -0.09155    |  0.05835  
  389.84030  |  248.88000  |  0.95360  |   0.54646   |   -0.09894    |  0.05824  
  395.85464  |  248.14000  |  0.95430  |   0.54503   |   -0.10228    |  0.05811  
  401.87199  |  247.64000  |  0.95380  |   0.54741   |   -0.10014    |  0.05835  
  407.73932  |  246.71000  |  0.95360  |   0.54598   |   -0.09966    |  0.05820  
  413.75167  |  246.14000  |  0.95430  |   0.54407   |   -0.10133    |  0.05799  
  419.76501  |  245.38000  |  0.95410  |   0.54288   |   -0.10586    |  0.05797  
  425.64335  |  244.79000  |  0.95380  |   0.54455   |   -0.10896    |  0.05822  
  431.66169  |  243.95000  |  0.95370  |   0.54097   |   -0.10872    |  0.05786  
  437.67003  |  243.25000  |  0.95360  |   0.54145   |   -0.11230    |  0.05799  
  443.67338  |  242.75000  |  0.95370  |   0.53788   |   -0.11683    |  0.05771  
  449.71172  |  241.90000  |  0.95440  |   0.53525   |   -0.11611    |  0.05739  
