UBC Resistivity Measurement:2019-02-11 11:15:21.646765
==========================================================================
Sample Name: Sample
User: Username
Material: Material
==================================================================================================
  Time(s)  |   Temp(K)   |    Temp (Ohm)   |   Vref(V)  |  ReVs (mV)  |  ImVs (mV)  |  Res(Ohm)  
=================================================================================================
  1045.37179  |  292.52000  |  34.80000  |  0.94950  |   6.31049   |   0.08392    |  0.66467  
  1050.26507  |  291.23000  |  34.90000  |  0.94880  |   6.31002   |   0.08392    |  0.66511  
  1055.09035  |  290.13000  |  35.00000  |  0.94960  |   6.30906   |   0.08392    |  0.66445  
  1059.91262  |  289.48000  |  35.00000  |  0.94950  |   6.30859   |   0.08297    |  0.66447  
  1064.78090  |  288.46000  |  35.10000  |  0.94960  |   6.30715   |   0.08392    |  0.66425  
  1069.62418  |  287.79000  |  35.10000  |  0.94900  |   6.30620   |   0.08392    |  0.66457  
  1074.48146  |  287.08000  |  35.20000  |  0.94960  |   6.30477   |   0.08392    |  0.66400  
  1079.32773  |  286.29000  |  35.30000  |  0.94900  |   6.30715   |   0.08583    |  0.66467  
  1084.25401  |  285.33000  |  35.30000  |  0.94900  |   6.30239   |   0.08345    |  0.66417  
  1089.09129  |  284.87000  |  35.40000  |  0.94900  |   6.30191   |   0.08297    |  0.66412  
  1093.93057  |  283.89000  |  35.50000  |  0.94960  |   6.30000   |   0.08392    |  0.66350  
  1098.78785  |  283.52000  |  35.50000  |  0.94900  |   6.29857   |   0.08345    |  0.66376  
  1103.61212  |  282.64000  |  35.60000  |  0.94890  |   6.29762   |   0.08345    |  0.66373  
  1108.48040  |  281.28000  |  35.70000  |  0.94940  |   6.29619   |   0.08297    |  0.66323  
  1113.31568  |  281.13000  |  35.70000  |  0.94960  |   6.29428   |   0.08297    |  0.66289  
  1118.21596  |  281.37000  |  35.70000  |  0.94970  |   6.29237   |   0.08345    |  0.66262  
  1123.07824  |  282.04000  |  35.60000  |  0.94970  |   6.29047   |   0.08297    |  0.66242  
  1127.92251  |  282.34000  |  35.60000  |  0.94930  |   6.28856   |   0.08297    |  0.66250  
