UBC Resistivity Measurement:2019-02-05 16:59:04.802777
==========================================================================
Sample Name: Sample
User: Username
Material: Material
==================================================================================================
  Time(s)  |   Temp(K)   |    Temp (Ohm)   |   Vref(V)  |  ReVs (mV)  |  ImVs (mV)  |  Res(Ohm)  
=================================================================================================
  8.24547  |  11.95400  |  289.10000  |  0.95450  |   0.00310   |   0.17619    |  0.01846  
  14.23481  |  11.95000  |  289.10000  |  0.95450  |   0.00215   |   0.18120    |  0.01898  
  20.23916  |  11.94600  |  289.20000  |  0.95380  |   0.00453   |   0.18144    |  0.01903  
  26.25350  |  11.94200  |  289.30000  |  0.95420  |   0.00215   |   0.18215    |  0.01909  
  32.27685  |  11.93800  |  289.30000  |  0.95400  |   0.00072   |   0.18096    |  0.01897  
  38.27419  |  11.93400  |  289.40000  |  0.95410  |   0.00501   |   0.17548    |  0.01840  
  44.32654  |  11.92900  |  289.50000  |  0.95430  |   0.00215   |   0.18144    |  0.01901  
  50.18587  |  11.92500  |  289.50000  |  0.95410  |   0.00262   |   0.18024    |  0.01889  
  56.14821  |  11.92200  |  289.60000  |  0.95440  |   0.00286   |   0.17667    |  0.01851  
  62.11955  |  11.91900  |  289.60000  |  0.95430  |   0.00429   |   0.17691    |  0.01854  
  68.14890  |  11.91500  |  289.70000  |  0.95450  |   0.00095   |   0.17715    |  0.01856  
  74.18324  |  11.91200  |  289.80000  |  0.95440  |   0.00119   |   0.17810    |  0.01866  
  80.20259  |  11.90800  |  289.80000  |  0.95410  |   0.00143   |   0.17405    |  0.01824  
  86.25393  |  11.90400  |  289.90000  |  0.95430  |   0.00262   |   0.17715    |  0.01856  
  92.29128  |  11.90000  |  289.90000  |  0.95380  |   0.00358   |   0.17715    |  0.01858  
  98.31462  |  11.89700  |  290.00000  |  0.95380  |   0.00143   |   0.17738    |  0.01860  
  104.31697  |  11.89400  |  290.00000  |  0.95400  |   0.00167   |   0.17905    |  0.01877  
  110.33431  |  11.89100  |  290.10000  |  0.95390  |   0.00095   |   0.17238    |  0.01807  
  116.23065  |  11.88700  |  290.20000  |  0.95430  |   0.17953   |   -0.00238    |  0.01881  
  122.21499  |  11.88400  |  290.20000  |  0.95410  |   0.17762   |   0.00191    |  0.01862  
  128.22833  |  11.88100  |  290.30000  |  0.95440  |   0.17882   |   0.00143    |  0.01874  
  134.25368  |  11.87800  |  290.30000  |  0.95450  |   0.18096   |   0.00000    |  0.01896  
  140.24702  |  11.87500  |  290.40000  |  0.95390  |   0.18001   |   0.00262    |  0.01887  
  146.25337  |  11.87200  |  290.40000  |  0.95370  |   0.18072   |   0.00095    |  0.01895  
  152.26471  |  11.87000  |  290.40000  |  0.95370  |   0.17643   |   0.00000    |  0.01850  
  158.28605  |  11.86700  |  290.50000  |  0.95430  |   0.17691   |   -0.00381    |  0.01854  
  164.29140  |  11.86300  |  290.60000  |  0.95440  |   0.17548   |   -0.00143    |  0.01839  
  170.32374  |  11.83700  |  291.00000  |  0.95400  |   0.17738   |   0.00310    |  0.01860  
  176.30108  |  11.80700  |  291.50000  |  0.95400  |   0.17262   |   0.00215    |  0.01810  
  182.30543  |  11.78800  |  291.80000  |  0.95440  |   0.17262   |   0.00358    |  0.01809  
  188.30277  |  11.77600  |  292.00000  |  0.95380  |   0.17119   |   0.00048    |  0.01795  
  194.31511  |  11.76900  |  292.10000  |  0.95450  |   0.17476   |   0.00119    |  0.01831  
  200.31246  |  11.74400  |  292.50000  |  0.95380  |   0.17190   |   0.00262    |  0.01802  
  206.30580  |  11.71900  |  292.90000  |  0.95430  |   0.17262   |   0.00334    |  0.01809  
  212.34615  |  11.70700  |  293.10000  |  0.95430  |   0.17095   |   0.00644    |  0.01793  
  218.36249  |  11.69700  |  293.30000  |  0.95430  |   0.17214   |   0.00119    |  0.01804  
  224.38283  |  11.69100  |  293.40000  |  0.95420  |   0.17381   |   0.00453    |  0.01822  
  230.42318  |  11.68700  |  293.40000  |  0.95400  |   0.17238   |   0.00477    |  0.01808  
  236.30252  |  11.68200  |  293.50000  |  0.95390  |   0.17262   |   0.00453    |  0.01810  
  242.27686  |  11.67800  |  293.60000  |  0.95390  |   0.17047   |   0.00525    |  0.01788  
  248.24820  |  11.67200  |  293.70000  |  0.95450  |   0.17023   |   0.00429    |  0.01784  
  254.23354  |  11.66800  |  293.70000  |  0.95410  |   0.17047   |   0.00715    |  0.01788  
  260.26589  |  11.66400  |  293.80000  |  0.95390  |   0.16952   |   0.00381    |  0.01778  
  266.23123  |  11.65900  |  293.90000  |  0.95390  |   0.16570   |   0.00334    |  0.01737  
  272.23857  |  11.65400  |  294.00000  |  0.95440  |   0.16761   |   0.00381    |  0.01757  
  278.24892  |  11.65000  |  294.00000  |  0.95420  |   0.16880   |   0.00215    |  0.01769  
  284.28526  |  11.64600  |  294.10000  |  0.95390  |   0.16713   |   0.00525    |  0.01753  
  290.25860  |  11.64100  |  294.20000  |  0.95390  |   0.16475   |   0.00525    |  0.01728  
  296.25394  |  11.63600  |  294.30000  |  0.95450  |   0.16618   |   0.00811    |  0.01743  
  302.28329  |  11.63200  |  294.40000  |  0.95380  |   0.16451   |   0.00429    |  0.01725  
  308.25763  |  11.62600  |  294.40000  |  0.95380  |   0.16761   |   0.00525    |  0.01758  
  314.26598  |  11.62100  |  294.50000  |  0.95440  |   0.16308   |   0.00429    |  0.01709  
  320.27932  |  11.61700  |  294.60000  |  0.95380  |   0.16713   |   0.00691    |  0.01754  
  326.26366  |  11.61300  |  294.70000  |  0.95410  |   0.16666   |   0.00834    |  0.01749  
  332.26700  |  11.61000  |  294.70000  |  0.95390  |   0.16594   |   0.00882    |  0.01742  
  338.30135  |  11.60600  |  294.80000  |  0.95420  |   0.16046   |   0.00572    |  0.01683  
  344.28869  |  11.60200  |  294.80000  |  0.95450  |   0.16213   |   0.00930    |  0.01701  
  350.30304  |  11.60000  |  294.90000  |  0.95450  |   0.16546   |   0.00644    |  0.01735  
  356.34938  |  11.59800  |  294.90000  |  0.95380  |   0.16570   |   0.00978    |  0.01740  
  362.35473  |  11.59600  |  294.90000  |  0.95450  |   0.16713   |   0.01216    |  0.01756  
  368.38307  |  11.59400  |  295.00000  |  0.95390  |   0.16546   |   0.00763    |  0.01736  
  374.42642  |  11.59300  |  295.00000  |  0.95450  |   0.16141   |   0.00811    |  0.01693  
  380.38776  |  11.59100  |  295.00000  |  0.95440  |   0.16260   |   0.00787    |  0.01706  
  386.41110  |  11.59200  |  295.00000  |  0.95390  |   0.16666   |   0.01192    |  0.01752  
  392.39944  |  11.59100  |  295.00000  |  0.95430  |   0.16594   |   0.00644    |  0.01740  
  398.45479  |  11.59100  |  295.00000  |  0.95420  |   0.16570   |   0.01097    |  0.01740  
  404.42613  |  11.59200  |  295.00000  |  0.95380  |   0.16165   |   0.01216    |  0.01700  
  410.43348  |  11.59200  |  295.00000  |  0.95380  |   0.16427   |   0.01049    |  0.01726  
  416.44082  |  11.59200  |  295.00000  |  0.95440  |   0.16189   |   0.00858    |  0.01699  
  422.45816  |  11.59300  |  295.00000  |  0.95370  |   0.16093   |   0.00548    |  0.01688  
  428.47551  |  11.59200  |  295.00000  |  0.95450  |   0.16713   |   0.00882    |  0.01753  
  434.48985  |  11.59300  |  295.00000  |  0.95370  |   0.16189   |   0.00739    |  0.01699  
  440.51620  |  11.59300  |  295.00000  |  0.95370  |   0.16522   |   0.00978    |  0.01735  
  446.54454  |  11.59400  |  295.00000  |  0.95450  |   0.16427   |   0.00548    |  0.01722  
  452.51788  |  11.59600  |  294.90000  |  0.95370  |   0.16499   |   0.00763    |  0.01732  
  458.52723  |  11.59700  |  294.90000  |  0.95410  |   0.16427   |   0.00954    |  0.01725  
  464.53257  |  11.59800  |  294.90000  |  0.95430  |   0.16427   |   0.00978    |  0.01724  
  470.55692  |  11.59900  |  294.90000  |  0.95380  |   0.16284   |   0.00596    |  0.01708  
  476.54926  |  11.60000  |  294.90000  |  0.95450  |   0.16260   |   0.00882    |  0.01706  
  482.57560  |  11.60100  |  294.90000  |  0.95380  |   0.16427   |   0.00763    |  0.01724  
  488.57394  |  11.60300  |  294.80000  |  0.95410  |   0.16713   |   0.00405    |  0.01752  
  494.59329  |  11.60400  |  294.80000  |  0.95440  |   0.16785   |   0.00978    |  0.01762  
  500.59063  |  11.60500  |  294.80000  |  0.95440  |   0.16880   |   0.00763    |  0.01770  
