UBC Resistivity Measurement:2019-02-11 16:14:30.606386
==========================================================================
Sample Name: Sample
User: Username
Material: Material
==================================================================================================
  Time(s)  |   Temp(K)   |    Temp (Ohm)   |   Vref(V)  |  ReVs (mV)  |  ImVs (mV)  |  Res(Ohm)  
=================================================================================================
  7.33742  |  9.43300  |  336.60000  |  0.94880  |   0.06247   |   -0.02432    |  0.00707  
  13.21776  |  9.43500  |  336.60000  |  0.94900  |   0.06294   |   -0.02337    |  0.00707  
  19.07109  |  9.43400  |  336.60000  |  0.94920  |   0.06294   |   -0.02384    |  0.00709  
  24.95943  |  9.43600  |  336.60000  |  0.94890  |   0.06294   |   -0.02384    |  0.00709  
  30.79876  |  9.46900  |  335.70000  |  0.94900  |   0.07010   |   -0.02384    |  0.00780  
  36.66310  |  9.77500  |  328.90000  |  0.94960  |   0.09394   |   -0.02337    |  0.01019  
  42.50543  |  10.00200  |  324.10000  |  0.94950  |   0.11301   |   -0.02289    |  0.01214  
  48.44677  |  10.43300  |  315.70000  |  0.94900  |   0.13828   |   -0.02241    |  0.01476  
  54.28410  |  10.58600  |  312.80000  |  0.94920  |   0.14019   |   -0.02241    |  0.01496  
  60.17844  |  10.35700  |  317.10000  |  0.94960  |   0.13256   |   -0.02241    |  0.01416  
  66.00978  |  10.21100  |  320.00000  |  0.94950  |   0.12589   |   -0.02241    |  0.01347  
  71.90811  |  10.13600  |  321.40000  |  0.94900  |   0.12159   |   -0.02241    |  0.01303  
  77.75845  |  10.09800  |  322.20000  |  0.94960  |   0.11921   |   -0.02337    |  0.01279  
  83.61978  |  10.08100  |  322.50000  |  0.94910  |   0.11826   |   -0.02289    |  0.01269  
  89.48812  |  10.07400  |  322.60000  |  0.94890  |   0.11730   |   -0.02241    |  0.01259  
  95.37946  |  10.05900  |  323.00000  |  0.94910  |   0.11635   |   -0.02289    |  0.01249  
  101.21879  |  10.04600  |  323.20000  |  0.94900  |   0.11539   |   -0.02337    |  0.01241  
  107.07512  |  10.03900  |  323.30000  |  0.94880  |   0.11492   |   -0.02289    |  0.01235  
